Employment,Country,AISearchDevAdmired
"Employed, full-time",Uruguay,NA
"Not employed, but looking for work",United States of America,ChatGPT;Claude;Visual Studio Intellicode;Whispr AI
"Employed, full-time",United States of America,NA
"Employed, full-time",Australia,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Italy,ChatGPT
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",New Zealand,ChatGPT
"Employed, full-time",Germany,NA
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",United States of America,ChatGPT
"Not employed, but looking for work",United States of America,NA
"Employed, full-time",Australia,ChatGPT
"Employed, full-time",Brazil,NA
"Employed, full-time",Australia,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Brazil,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Brazil,NA
"Student, full-time;Employed, part-time",Brazil,ChatGPT
"Employed, full-time",New Zealand,NA
"Employed, full-time",United States of America,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",New Zealand,ChatGPT
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Not employed, but looking for work",United States of America,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Australia,GitHub Copilot
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Not employed, and not looking for work",Australia,NA
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Spain,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Australia,NA
"Student, full-time",Germany,NA
"Employed, full-time",Canada,ChatGPT;Google Gemini
"Employed, full-time",United States of America,NA
"Employed, full-time",New Zealand,NA
"Employed, full-time",Australia,ChatGPT;Perplexity AI
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",New Zealand,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Viet Nam,ChatGPT
"Independent contractor, freelancer, or self-employed",Canada,NA
I prefer not to say,United States of America,ChatGPT
"Not employed, and not looking for work",United States of America,Bing AI;Visual Studio Intellicode
"Employed, full-time",Australia,NA
"Employed, full-time",Australia,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Australia,GitHub Copilot
"Employed, full-time",Indonesia,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,Claude;GitHub Copilot;Meta AI;WolframAlpha
"Employed, full-time",Cambodia,ChatGPT
"Student, full-time",India,ChatGPT;GitHub Copilot;Meta AI
"Employed, full-time",Brazil,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Malaysia,ChatGPT;GitHub Copilot;Google Gemini
"Independent contractor, freelancer, or self-employed",India,Bing AI;Google Gemini
"Student, full-time;Not employed, but looking for work",Australia,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Viet Nam,ChatGPT
"Employed, full-time",Taiwan,NA
"Employed, full-time;Student, full-time",Indonesia,ChatGPT
"Employed, full-time",China,GitHub Copilot;Quora Poe;Tabnine
"Employed, part-time",Bangladesh,NA
"Employed, full-time",Canada,ChatGPT;GitHub Copilot
"Employed, full-time",Singapore,ChatGPT
"Employed, full-time",Philippines,ChatGPT;GitHub Copilot
"Employed, full-time;Student, part-time",United States of America,ChatGPT
"Employed, full-time",Australia,Bing AI;ChatGPT
"Independent contractor, freelancer, or self-employed;Employed, part-time",Philippines,ChatGPT
"Employed, full-time",India,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Australia,NA
"Employed, full-time",Canada,ChatGPT;Codeium
"Employed, full-time",China,ChatGPT;Google Gemini
"Employed, full-time",Nicaragua,ChatGPT
"Employed, full-time",New Zealand,ChatGPT;Claude;GitHub Copilot;Google Gemini
"Employed, full-time",Thailand,NA
"Employed, full-time",Australia,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Thailand,NA
"Employed, full-time",Italy,NA
"Not employed, but looking for work",Peru,ChatGPT;GitHub Copilot
"Employed, full-time",Australia,ChatGPT;GitHub Copilot
"Employed, full-time",United Arab Emirates,ChatGPT;GitHub Copilot
"Employed, full-time",Nomadic,NA
I prefer not to say,Portugal,NA
"Not employed, but looking for work",New Zealand,NA
"Employed, full-time",Nepal,ChatGPT;GitHub Copilot
"Employed, full-time",New Zealand,NA
"Employed, full-time",Denmark,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, part-time",Canada,Bing AI;ChatGPT
"Employed, full-time",Mexico,NA
"Employed, full-time",Belgium,Bing AI
"Employed, full-time",United States of America,Bing AI;ChatGPT;Google Gemini;Meta AI
"Employed, full-time",Singapore,GitHub Copilot
"Student, full-time",Australia,NA
"Employed, full-time",India,NA
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Russian Federation,ChatGPT
"Independent contractor, freelancer, or self-employed",Pakistan,NA
"Employed, full-time",United Arab Emirates,ChatGPT;Claude
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Israel,ChatGPT;Google Gemini
"Employed, full-time",Australia,NA
"Employed, full-time",India,ChatGPT
"Independent contractor, freelancer, or self-employed",Ukraine,NA
"Employed, full-time",United States of America,NA
"Student, full-time",United States of America,ChatGPT;GitHub Copilot;OpenAI Codex;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",United States of America,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",India,ChatGPT;Claude;GitHub Copilot;Google Gemini
"Employed, full-time",Bangladesh,ChatGPT;Claude;GitHub Copilot;Google Gemini
"Not employed, but looking for work",Brazil,ChatGPT;Google Gemini;Tabnine
"Student, full-time",Russian Federation,ChatGPT;Codeium;Visual Studio Intellicode
"Employed, full-time",Indonesia,ChatGPT;GitHub Copilot
"Employed, full-time",Philippines,ChatGPT;Visual Studio Intellicode
"Employed, full-time",India,NA
"Employed, full-time",India,ChatGPT;GitHub Copilot
"Employed, full-time",Czech Republic,ChatGPT;Codeium;GitHub Copilot
"Employed, full-time",Turkey,NA
"Employed, part-time",Switzerland,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Australia,NA
"Employed, full-time",Germany,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Pakistan,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode;Whispr AI
"Not employed, but looking for work;Student, part-time",Egypt,ChatGPT;Codeium;Google Gemini
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT
"Employed, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Brazil,NA
"Employed, full-time",Netherlands,ChatGPT;GitHub Copilot
"Employed, full-time",South Korea,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Pakistan,ChatGPT
"Employed, full-time;Student, part-time",Australia,ChatGPT
"Employed, full-time",Poland,NA
"Employed, full-time",Switzerland,NA
"Employed, full-time",India,NA
"Employed, part-time",Switzerland,GitHub Copilot;Visual Studio Intellicode
"Student, full-time",Sri Lanka,NA
"Employed, full-time",Greece,NA
"Employed, full-time",India,NA
"Employed, full-time",Ukraine,ChatGPT
"Student, full-time;Employed, part-time",Germany,Bing AI;ChatGPT
"Employed, full-time",India,ChatGPT;Claude;Codeium;Google Gemini;OpenAI Codex
"Student, full-time;Not employed, but looking for work",Ukraine,Bing AI;ChatGPT;Claude;Google Gemini
"Employed, full-time",Germany,NA
"Employed, full-time",India,ChatGPT
"Employed, full-time;Student, part-time",Poland,ChatGPT
"Not employed, but looking for work",Thailand,Bing AI;Google Gemini
"Student, full-time",Morocco,NA
"Employed, full-time;Student, full-time",Germany,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,WolframAlpha
"Employed, full-time",India,ChatGPT;Cody
"Independent contractor, freelancer, or self-employed",France,ChatGPT
"Employed, full-time",Bosnia and Herzegovina,NA
"Employed, full-time",Viet Nam,ChatGPT;GitHub Copilot
"Employed, full-time",Portugal,Bing AI;ChatGPT
"Not employed, but looking for work",Georgia,ChatGPT;Google Gemini
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",Slovakia,ChatGPT
"Employed, full-time",Japan,NA
"Not employed, but looking for work",Ukraine,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",Armenia,NA
"Independent contractor, freelancer, or self-employed;Employed, part-time",Germany,NA
"Employed, full-time",India,Bing AI;ChatGPT
"Employed, full-time",Sweden,ChatGPT;GitHub Copilot
"Employed, full-time",Canada,NA
"Employed, full-time",Poland,ChatGPT
"Employed, full-time",Sweden,GitHub Copilot
"Employed, full-time",Germany,ChatGPT
"Not employed, and not looking for work",Finland,ChatGPT;GitHub Copilot
"Employed, full-time",Australia,NA
"Employed, full-time",India,ChatGPT;Codeium
"Employed, full-time",India,ChatGPT;Google Gemini
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Not employed, but looking for work",Bulgaria,Bing AI;Claude;Google Gemini
"Employed, full-time",Latvia,NA
"Employed, full-time",Bangladesh,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Viet Nam,ChatGPT
"Employed, full-time",Switzerland,ChatGPT;Codeium
"Independent contractor, freelancer, or self-employed",India,Bing AI
"Employed, part-time",Netherlands,GitHub Copilot
"Employed, full-time;Student, part-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time;Student, full-time",Ukraine,ChatGPT
"Employed, full-time",Belgium,ChatGPT
"Employed, full-time",Israel,NA
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot
"Employed, full-time",Italy,NA
"Employed, full-time",Denmark,GitHub Copilot
"Employed, full-time",India,NA
"Employed, full-time",India,NA
"Employed, full-time",Russian Federation,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",Armenia,ChatGPT;GitHub Copilot
"Employed, full-time",Ukraine,NA
"Employed, full-time",Israel,ChatGPT;GitHub Copilot
"Employed, full-time",Finland,ChatGPT;GitHub Copilot
"Employed, full-time",New Zealand,ChatGPT;Perplexity AI
"Employed, full-time",Italy,NA
"Employed, full-time",Spain,NA
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",India,NA
"Employed, full-time;Student, full-time",Serbia,ChatGPT
"Employed, full-time",South Korea,ChatGPT
"Employed, full-time",New Zealand,GitHub Copilot;Google Gemini
"Employed, full-time;Student, full-time",France,ChatGPT
"Employed, full-time",India,NA
"Employed, full-time",Finland,ChatGPT
"Employed, full-time",Slovakia,ChatGPT
"Employed, full-time",Germany,Bing AI;ChatGPT
"Student, full-time",Russian Federation,NA
"Independent contractor, freelancer, or self-employed",Netherlands,ChatGPT;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Germany,NA
"Employed, full-time",Philippines,ChatGPT;GitHub Copilot
"Student, full-time;Employed, part-time",Russian Federation,NA
"Employed, full-time",Nepal,NA
"Employed, full-time",Germany,NA
"Employed, full-time",Israel,ChatGPT;Visual Studio Intellicode
"Employed, full-time",France,NA
"Employed, full-time",Bahrain,Amazon Q;Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;OpenAI Codex;Tabnine;Visual Studio Intellicode
"Employed, part-time",France,NA
"Student, full-time;Employed, part-time",Germany,ChatGPT
"Employed, full-time",France,ChatGPT;Visual Studio Intellicode
"Employed, full-time",India,NA
"Employed, full-time",Israel,ChatGPT
"Employed, full-time",Ukraine,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",Spain,NA
"Employed, full-time",Finland,NA
"Employed, full-time",France,Google Gemini
"Employed, part-time",Germany,ChatGPT
"Employed, full-time",Taiwan,ChatGPT;Google Gemini
"Employed, full-time",India,NA
"Employed, full-time",Spain,ChatGPT;GitHub Copilot
"Student, part-time;Employed, part-time",Germany,NA
"Not employed, but looking for work",Ukraine,ChatGPT
"Employed, full-time",Belgium,ChatGPT
"Employed, full-time",Russian Federation,ChatGPT;GitHub Copilot
"Employed, full-time;Student, part-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time",China,NA
"Not employed, but looking for work",Ukraine,ChatGPT;Google Gemini;Visual Studio Intellicode
"Employed, full-time",Spain,NA
"Student, full-time",Qatar,NA
"Employed, full-time",Denmark,ChatGPT
"Employed, full-time",Romania,NA
"Employed, full-time",Poland,GitHub Copilot
"Employed, full-time",India,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Hungary,Bing AI;ChatGPT;Codeium
"Student, full-time;Not employed, and not looking for work",Ukraine,ChatGPT;GitHub Copilot
"Not employed, and not looking for work",Pakistan,ChatGPT;Google Gemini;Tabnine;Visual Studio Intellicode
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Germany,ChatGPT
